id,title,url,source,feed,source_type,stage,evidence_type,evidence_strength,evidence_maturity,healthcare_relevance,ai_modality,decision_type,payer_type,region,country,date,score,topics
d208db9451f8,STAT+: The secret AI-startup project I’ve been working on the last six months,https://www.statnews.com/2026/08/12/the-secret-startup-project-ive-been-working-on-ai-prognosis/?utm_campaign=rss,STAT — Health Tech,STAT — Health Tech,Industry press,industry,Industry news,Market signal,,Direct clinical,,,,,,2026-08-12,3,
8a9a01bede85,STAT+: Inside a $7 billion Silicon Valley startup’s mad dash to automate the business of health care,https://www.statnews.com/2026/08/12/inside-commure-athelas-mad-dash-automate-health-care/?utm_campaign=rss,STAT — Health Tech,STAT — Health Tech,Industry press,industry,Industry news,Market signal,,Healthcare operations,,,,,,2026-08-12,3,
2d3abcf27149,Suvi Health launches ambient AI solution for patients to reduce hospital stays and support care transitions,https://www.fiercehealthcare.com/ai-and-machine-learning/suvi-health-launches-ambient-ai-solution-patients-and-caregivers-support,Fierce Healthcare,Fierce Healthcare,Industry press,industry,Product launch,Market signal,,Direct clinical,,,,,,2026-08-12,3,
0fbcc859e631,Oracle Health debuts revamped patient portal with an AI upgrade,https://www.fiercehealthcare.com/ai-and-machine-learning/oracle-health-debuts-revamped-ai-powered-patient-portal,Fierce Healthcare,Fierce Healthcare,Industry press,industry,Product launch,Market signal,,Healthcare operations,,,,,,2026-08-12,3,
a7ecb424beef,Assort Health rolls out AI agent to automate referrals for specialty practices and health systems,https://www.fiercehealthcare.com/ai-and-machine-learning/assort-health-rolls-out-ai-agent-dedicated-referrals,Fierce Healthcare,Fierce Healthcare,Industry press,industry,Product launch,Market signal,,Direct clinical,,,,,,2026-08-12,3,
bd5ac748a44a,"Abbott, Google to combine glucose data with AI coaching",https://www.medtechdive.com/news/abbott-google-to-combine-glucose-data-with-ai-coaching/827680/,MedTech Dive,MedTech Dive,Industry press,industry,Industry news,Market signal,,Adjacent AI,Remote monitoring,,,,,2026-08-12,3,
0b249b935a30,Two health insurers give an AI reality check,https://endpoints.news/two-health-insurers-give-an-ai-reality-check/,Endpoints News,Endpoints News,Industry press,industry,Industry news,Market signal,,Adjacent AI,,,,,,2026-08-11,3,
a967c212658c,Hims & Hers posts $753M in Q2 revenue as it preps for push into peptide market,https://www.fiercehealthcare.com/health-tech/hims-hers-posts-753m-q3-revenue-it-preps-push-peptide-market,Fierce Healthcare,Fierce Healthcare,Industry press,industry,Industry news,Market signal,,Adjacent AI,,,,,,2026-08-11,3,
04c2e4832bbb,Flagler Health secures $50M series B for AI-native MSK care platform expansion,https://www.fiercehealthcare.com/finance/flagler-health-secures-50m-series-b-ai-native-msk-care-platform-expansion,Fierce Healthcare,Fierce Healthcare,Industry press,industry,Funding round,Market signal,,Healthcare operations,,,,,,2026-08-11,3,
3dedc845fb41,ConRub-Med: Reinforcement Learning with Consensus Rubrics for Open-Ended Medical Question Answering,https://arxiv.org/abs/2608.10996v1,arXiv,arXiv,Preprint / research,research,Preprint,Primary evidence,0,Healthcare operations,,,,,,2026-08-11,3,ai-research
